skill,category,type,demand,scarcity,future_proof
Customer empathy,Banking,soft,89.7,49.2,80.9
Conflict resolution,Banking,soft,89.5,56.0,70.8
Supply chain management,Banking,hard,89.5,49.9,78.5
Python,Banking,hard,89.4,81.9,79.6
React,Banking,hard,89.3,72.1,57.8
Data visualization,Banking,hard,89.1,81.7,72.6
A/B testing,Banking,hard,88.0,71.8,65.2
Clinical documentation,Banking,hard,87.8,80.4,80.2
Data visualization,Banking,hard,87.7,65.2,85.8
GraphQL,Banking,hard,86.6,79.5,65.7
Decision making,Banking,soft,86.5,64.2,80.2
Financial modeling,Banking,hard,86.2,83.0,69.8
Electronic health records,Banking,hard,85.4,63.4,59.5
SQL,Banking,hard,83.8,82.6,85.2
Medical coding,Banking,hard,83.7,79.7,80.8
Critical thinking,Banking,soft,83.7,77.2,79.9
Conflict resolution,Banking,soft,83.6,58.8,71.8
Power BI,Banking,hard,83.6,49.0,79.3
Motion design,Banking,hard,83.5,68.1,67.4
UX research,Banking,hard,83.3,67.6,69.7
Supply chain management,Banking,hard,83.2,64.4,75.4
Data visualization,Banking,hard,83.0,76.6,69.9
Agile / Scrum,Banking,hard,82.8,55.4,72.4
Tableau,Banking,hard,82.7,76.1,85.1
Node.js,Banking,hard,82.5,52.1,68.8
Git,Banking,hard,82.3,68.9,66.8
Negotiation,Banking,soft,81.8,74.6,71.6
pandas,Banking,hard,81.7,73.1,72.3
REST API design,Banking,hard,81.1,48.0,83.7
Power BI,Banking,hard,81.0,57.1,88.3
Collaboration,Banking,soft,80.5,88.3,63.8
Problem solving,Banking,soft,80.0,76.4,80.2
Critical thinking,Banking,soft,79.4,85.1,82.2
