skill,category,type,demand,scarcity,future_proof
Financial modeling,Civil Engineering,hard,94.1,66.8,74.4
Leadership,Civil Engineering,soft,93.2,70.6,59.8
pandas,Civil Engineering,hard,87.0,49.8,77.4
Kubernetes,Civil Engineering,hard,86.4,60.5,57.5
Emotional intelligence,Civil Engineering,soft,86.2,74.8,65.9
Agile / Scrum,Civil Engineering,hard,85.3,50.6,71.8
Kubernetes,Civil Engineering,hard,85.1,79.3,70.2
Git,Civil Engineering,hard,85.1,77.2,78.4
Agile / Scrum,Civil Engineering,hard,85.0,61.6,71.5
Motion design,Civil Engineering,hard,85.0,59.0,75.1
Communication,Civil Engineering,soft,84.7,68.3,73.1
Terraform,Civil Engineering,hard,84.2,49.3,69.3
JavaScript,Civil Engineering,hard,83.1,61.4,80.5
Linux,Civil Engineering,hard,81.5,57.5,60.7
Machine learning,Civil Engineering,hard,81.1,66.5,68.2
pandas,Civil Engineering,hard,80.9,74.7,69.6
Docker,Civil Engineering,hard,80.8,82.7,79.4
Decision making,Civil Engineering,soft,80.0,50.5,78.3
