skill,category,type,demand,scarcity,future_proof
Statistical analysis,Construction,hard,92.0,90.6,75.7
Figma,Construction,hard,89.7,59.1,81.3
TypeScript,Construction,hard,87.8,74.5,59.7
React,Construction,hard,87.0,62.3,78.0
Wireframing,Construction,hard,86.9,67.5,59.5
Figma,Construction,hard,86.5,73.9,52.9
Git,Construction,hard,86.0,81.4,76.4
Emotional intelligence,Construction,soft,85.6,79.6,76.7
CI/CD,Construction,hard,85.5,79.2,80.3
HIPAA compliance,Construction,hard,85.5,58.2,88.1
Git,Construction,hard,85.4,75.8,69.5
Critical thinking,Construction,soft,85.4,60.4,71.4
UX research,Construction,hard,85.3,72.3,75.1
Deep learning,Construction,hard,84.3,53.0,57.7
Problem solving,Construction,soft,84.0,66.5,67.5
pandas,Construction,hard,83.6,54.6,62.1
JavaScript,Construction,hard,83.4,88.1,66.2
Medical coding,Construction,hard,83.0,71.3,78.6
Terraform,Construction,hard,82.9,81.5,74.1
Quality assurance,Construction,hard,82.7,65.7,66.6
Python,Construction,hard,82.2,65.8,74.3
Time management,Construction,soft,82.1,75.6,77.3
Agile / Scrum,Construction,hard,81.8,64.1,56.7
Time management,Construction,soft,81.5,65.4,66.3
Power BI,Construction,hard,81.0,61.2,65.5
Adobe Illustrator,Construction,hard,80.9,56.7,66.5
Linux,Construction,hard,80.8,84.7,70.1
Creativity,Construction,soft,80.8,71.2,77.7
Negotiation,Construction,soft,80.5,59.4,73.8
Customer empathy,Construction,soft,79.7,64.3,53.6
Collaboration,Construction,soft,79.3,68.7,82.4
