skill,category,type,demand,scarcity,future_proof
GraphQL,Design,hard,90.2,59.9,79.3
Kubernetes,Design,hard,90.1,70.4,54.0
AutoCAD,Design,hard,89.5,86.1,66.2
Statistical analysis,Design,hard,89.5,80.0,77.6
Wireframing,Design,hard,89.2,54.1,67.8
Machine learning,Design,hard,89.1,59.7,80.9
Wireframing,Design,hard,88.3,82.7,66.5
Customer empathy,Design,soft,87.9,75.5,78.1
Critical thinking,Design,soft,87.9,48.0,85.5
TypeScript,Design,hard,87.5,64.1,68.0
Motion design,Design,hard,87.4,77.9,68.8
Kubernetes,Design,hard,87.2,61.9,61.7
Emotional intelligence,Design,soft,86.7,48.0,76.5
Collaboration,Design,soft,86.2,66.1,72.9
CI/CD,Design,hard,86.2,56.4,78.6
Financial modeling,Design,hard,86.0,83.7,85.2
Statistical analysis,Design,hard,85.8,93.7,62.5
GraphQL,Design,hard,85.8,65.2,55.8
Negotiation,Design,soft,85.6,84.3,71.4
Python,Design,hard,85.5,54.6,90.6
Customer empathy,Design,soft,85.5,52.6,72.4
Git,Design,hard,84.9,59.7,67.9
Linux,Design,hard,84.8,54.5,66.7
Patient triage,Design,hard,84.6,52.1,73.3
AWS,Design,hard,84.4,64.6,83.3
Collaboration,Design,soft,84.4,60.2,71.2
Electronic health records,Design,hard,84.3,47.1,74.1
Spark,Design,hard,84.2,74.3,67.1
AWS,Design,hard,84.1,82.7,73.5
Statistical analysis,Design,hard,84.0,68.3,71.0
Leadership,Design,soft,83.9,57.1,63.6
Customer empathy,Design,soft,82.6,74.0,61.8
Project management,Design,hard,82.2,66.0,72.3
Problem solving,Design,soft,82.2,53.6,71.6
Figma,Design,hard,82.0,76.6,85.5
Quality assurance,Design,hard,82.0,72.7,64.4
Collaboration,Design,soft,81.7,84.1,74.0
Decision making,Design,soft,81.7,82.8,59.9
Motion design,Design,hard,81.7,68.4,83.7
Agile / Scrum,Design,hard,81.7,50.3,61.7
JavaScript,Design,hard,81.4,72.9,67.7
Tableau,Design,hard,81.2,59.2,82.6
JavaScript,Design,hard,81.1,70.5,71.0
Time management,Design,soft,81.0,57.8,89.8
Node.js,Design,hard,80.9,71.1,65.7
Critical thinking,Design,soft,80.0,55.3,66.2
Time management,Design,soft,79.3,56.8,65.5
