skill,category,type,demand,scarcity,future_proof
Tableau,Operations,hard,92.7,59.1,64.2
Adobe Illustrator,Operations,hard,92.3,63.9,79.9
GraphQL,Operations,hard,91.8,60.4,57.8
Git,Operations,hard,91.2,63.7,66.1
Wireframing,Operations,hard,91.0,65.1,80.0
Spark,Operations,hard,90.1,49.6,76.8
Electronic health records,Operations,hard,89.9,90.7,65.5
Communication,Operations,soft,89.8,64.7,70.4
Terraform,Operations,hard,89.6,57.5,66.3
HIPAA compliance,Operations,hard,89.3,92.1,61.7
Clinical documentation,Operations,hard,88.9,53.6,75.9
UX research,Operations,hard,86.4,73.4,73.8
Negotiation,Operations,soft,85.9,57.6,75.7
GraphQL,Operations,hard,85.7,61.7,87.4
Data visualization,Operations,hard,84.5,49.7,84.4
SQL,Operations,hard,83.6,62.1,88.8
Kubernetes,Operations,hard,82.9,71.5,71.3
Figma,Operations,hard,82.7,87.0,78.6
Creativity,Operations,soft,82.4,77.7,84.1
Problem solving,Operations,soft,81.8,58.5,71.8
TypeScript,Operations,hard,81.7,79.7,68.7
Collaboration,Operations,soft,81.6,77.0,64.8
Adobe Illustrator,Operations,hard,80.8,63.4,76.3
Linux,Operations,hard,80.7,87.9,63.8
Creativity,Operations,soft,80.2,60.0,92.9
Conflict resolution,Operations,soft,79.6,58.3,74.4
