skill,category,type,demand,scarcity,future_proof
Node.js,Public Sector,hard,92.0,67.0,58.1
Time management,Public Sector,soft,91.7,79.1,74.6
Emotional intelligence,Public Sector,soft,87.7,89.0,73.8
Quality assurance,Public Sector,hard,87.6,79.1,80.3
Supply chain management,Public Sector,hard,87.2,59.6,75.5
Project management,Public Sector,hard,86.5,89.9,71.9
Statistical analysis,Public Sector,hard,85.0,54.8,61.8
JavaScript,Public Sector,hard,84.8,58.9,70.2
Tableau,Public Sector,hard,84.7,79.1,76.2
Leadership,Public Sector,soft,84.6,74.1,72.9
GraphQL,Public Sector,hard,84.6,66.1,74.6
Collaboration,Public Sector,soft,83.6,75.9,73.8
Financial modeling,Public Sector,hard,83.5,63.9,77.3
Leadership,Public Sector,soft,83.4,49.4,64.2
Figma,Public Sector,hard,83.1,81.3,69.8
SQL,Public Sector,hard,82.8,67.8,54.5
Conflict resolution,Public Sector,soft,82.6,60.4,75.9
Data visualization,Public Sector,hard,82.3,77.8,81.3
GraphQL,Public Sector,hard,82.3,66.9,67.5
Power BI,Public Sector,hard,82.1,61.8,64.1
Communication,Public Sector,soft,82.0,91.1,83.7
Figma,Public Sector,hard,82.0,78.8,77.9
Linux,Public Sector,hard,81.7,83.0,63.9
Medical coding,Public Sector,hard,81.7,52.8,60.1
Creativity,Public Sector,soft,81.2,69.5,70.6
React,Public Sector,hard,80.8,78.2,90.9
Communication,Public Sector,soft,79.5,65.3,74.1
