skill,category,type,demand,scarcity,future_proof
Data visualization,Transportation,hard,90.8,64.1,59.0
Tableau,Transportation,hard,89.6,79.0,87.5
Power BI,Transportation,hard,87.3,60.6,72.8
AutoCAD,Transportation,hard,85.0,73.2,81.1
Financial modeling,Transportation,hard,85.0,70.0,72.1
HIPAA compliance,Transportation,hard,85.0,69.4,56.1
HIPAA compliance,Transportation,hard,84.7,56.5,81.4
HIPAA compliance,Transportation,hard,84.5,60.8,89.4
Project management,Transportation,hard,84.0,90.5,88.4
Adaptability,Transportation,soft,83.8,53.9,72.2
AutoCAD,Transportation,hard,83.4,65.6,69.6
AutoCAD,Transportation,hard,82.9,81.3,91.1
Statistical analysis,Transportation,hard,82.8,69.5,91.5
Machine learning,Transportation,hard,82.4,64.0,62.8
UX research,Transportation,hard,81.8,88.5,74.3
Wireframing,Transportation,hard,81.4,69.9,69.0
Clinical documentation,Transportation,hard,81.1,71.7,63.3
Clinical documentation,Transportation,hard,81.1,70.6,70.1
Electronic health records,Transportation,hard,80.9,86.2,74.5
Decision making,Transportation,soft,80.8,65.1,71.7
Agile / Scrum,Transportation,hard,80.8,62.4,87.2
Negotiation,Transportation,soft,80.5,81.7,57.6
Negotiation,Transportation,soft,79.6,83.2,77.5
